Total Time,Pipeline1 Number of Comparisons,Pipeline2 Number of Comparisons,Output Comparisons,K_Value,BenchMark
2.6428166667,90902,38,36,1,Whiley
2.6775,90902,38,36,1,Whiley
2.6601833333,90902,38,36,1,Whiley
2.7582833333,90902,38,36,1,Whiley
2.7447833333,90902,38,36,1,Whiley
2.7326666667,90902,38,36,1,Whiley
2.74935,90902,38,36,1,Whiley
2.7038333333,90902,38,36,1,Whiley
2.65575,90902,38,36,1,Whiley
2.7203166667,90902,38,36,1,Whiley
2.7708833333,90902,38,36,1,Whiley
2.7753166667,90902,38,36,1,Whiley
2.7642833333,90902,38,36,1,Whiley
2.7698833333,90902,38,36,1,Whiley
2.7284,90902,38,36,1,Whiley
2.7226,90902,38,36,1,Whiley
2.72105,90902,38,36,1,Whiley
2.7198,90902,38,36,1,Whiley
2.7454666667,90902,38,36,1,Whiley
2.768,90902,38,36,1,Whiley
2.7609,90902,38,36,1,Whiley
2.6846833333,90902,38,36,1,Whiley
2.6395666667,90902,38,36,1,Whiley
2.6997666667,90902,38,36,1,Whiley
2.7684,90902,38,36,1,Whiley
2.9964166667,90902,38,36,1,Whiley
2.6888166667,90902,38,36,1,Whiley
2.94365,90902,38,36,1,Whiley
2.9604166667,90902,38,36,1,Whiley
2.9438333333,90902,38,36,1,Whiley
2.9039666667,90902,38,34,2,Whiley
2.8308166667,90902,38,34,2,Whiley
2.8474333333,90902,38,34,2,Whiley
2.8864166667,90902,38,34,2,Whiley
2.8899,90902,38,34,2,Whiley
2.9017,90902,38,34,2,Whiley
2.8680833333,90902,38,34,2,Whiley
2.90525,90902,38,34,2,Whiley
2.8591666667,90902,38,34,2,Whiley
2.8719833333,90902,38,34,2,Whiley
2.8768666667,90902,38,34,2,Whiley
2.81935,90902,38,34,2,Whiley
2.9019166667,90902,38,34,2,Whiley
2.9039833333,90902,38,34,2,Whiley
2.81235,90902,38,34,2,Whiley
2.8942,90902,38,34,2,Whiley
2.8884833333,90902,38,34,2,Whiley
2.8642333333,90902,38,34,2,Whiley
2.7978666667,90902,38,34,2,Whiley
2.89705,90902,38,34,2,Whiley
2.8926166667,90902,38,34,2,Whiley
2.8865,90902,38,34,2,Whiley
2.8919666667,90902,38,34,2,Whiley
2.8710333333,90902,38,34,2,Whiley
2.82975,90902,38,34,2,Whiley
2.86785,90902,38,34,2,Whiley
2.8407166667,90902,38,34,2,Whiley
2.8439333333,90902,38,34,2,Whiley
2.85575,90902,38,34,2,Whiley
2.8400166667,90902,38,34,2,Whiley
2.7902333333,90902,38,32,3,Whiley
2.6907166667,90902,38,32,3,Whiley
2.7502333333,90902,38,32,3,Whiley
2.6768833333,90902,38,32,3,Whiley
2.7745166667,90902,38,32,3,Whiley
2.68265,90902,38,32,3,Whiley
2.7143,90902,38,32,3,Whiley
2.7120833333,90902,38,32,3,Whiley
2.80005,90902,38,32,3,Whiley
2.6916333333,90902,38,32,3,Whiley
2.7091166667,90902,38,32,3,Whiley
2.7303333333,90902,38,32,3,Whiley
2.8003666667,90902,38,32,3,Whiley
2.7950833333,90902,38,32,3,Whiley
2.6917333333,90902,38,32,3,Whiley
2.7288833333,90902,38,31,3,Whiley
2.7327666667,90902,38,31,3,Whiley
2.75995,90902,38,32,3,Whiley
2.74505,90902,38,32,3,Whiley
2.7377166667,90902,38,32,3,Whiley
2.7385666667,90902,38,32,3,Whiley
2.7399666667,90902,38,32,3,Whiley
2.7488,90902,38,32,3,Whiley
2.7524333333,90902,38,32,3,Whiley
2.7934833333,90902,38,32,3,Whiley
2.7880166667,90902,38,32,3,Whiley
2.8025666667,90902,38,32,3,Whiley
2.8028833333,90902,38,32,3,Whiley
2.8056833333,90902,38,32,3,Whiley
2.81555,90902,38,32,3,Whiley
1.9598833333,1536360,2190,1760,1,Spring
1.9626666667,1536360,2190,1760,1,Spring
1.9839,1536360,2190,1760,1,Spring
1.9720833333,1536360,2190,1760,1,Spring
1.9674166667,1536360,2190,1760,1,Spring
2.0207,1536360,2190,1760,1,Spring
2.03025,1536360,2190,1760,1,Spring
2.0293,1536360,2190,1760,1,Spring
2.0212333333,1536360,2190,1760,1,Spring
2.0099166667,1536360,2190,1760,1,Spring
2.0084833333,1536360,2190,1760,1,Spring
2.0226166667,1536360,2190,1760,1,Spring
2.0117333333,1536360,2190,1760,1,Spring
2.0216333333,1536360,2190,1760,1,Spring
2.0191333333,1536360,2190,1760,1,Spring
2.0228833333,1536360,2190,1760,1,Spring
2.0174333333,1536360,2190,1760,1,Spring
2.0089166667,1536360,2190,1760,1,Spring
2.0137166667,1536360,2190,1760,1,Spring
2.021,1536360,2190,1760,1,Spring
2.0428,1536360,2190,1760,1,Spring
1.9985666667,1536360,2190,1760,1,Spring
2.0046666667,1536360,2190,1760,1,Spring
2.0818333333,1536360,2190,1760,1,Spring
2.0133166667,1536360,2190,1760,1,Spring
2.0473833333,1536360,2190,1760,1,Spring
2.1955333333,1536360,2190,1760,1,Spring
2.2014333333,1536360,2190,1760,1,Spring
2.1959166667,1536360,2190,1760,1,Spring
1.9713333333,1536360,2190,1760,1,Spring
1.8897833333,1536360,2190,1668,2,Spring
2.0109,1536360,2190,1668,2,Spring
2.0452833333,1536360,2190,1668,2,Spring
