Total Time,Pipeline1 Number of Comparisons,Pipeline2 Number of Comparisons,Output Comparisons,Weighting And Parameters,BenchMark
2.9896666667,90902,38,28,true,Whiley
3.0734333333,90902,38,28,true,Whiley
3.0775166667,90902,38,28,true,Whiley
3.04015,90902,38,28,true,Whiley
3.0429833333,90902,38,28,true,Whiley
3.0590666667,90902,38,28,true,Whiley
3.09965,90902,38,28,true,Whiley
3.0343333333,90902,38,28,true,Whiley
3.10315,90902,38,28,true,Whiley
3.0748833333,90902,38,28,true,Whiley
3.0614333333,90902,38,28,true,Whiley
3.1008666667,90902,38,28,true,Whiley
3.0838666667,90902,38,28,true,Whiley
3.0935333333,90902,38,28,true,Whiley
3.0666833333,90902,38,28,true,Whiley
3.0755666667,90902,38,28,true,Whiley
3.1490833333,90902,38,28,true,Whiley
3.0939333333,90902,38,28,true,Whiley
3.3944666667,90902,38,28,true,Whiley
3.3624833333,90902,38,28,true,Whiley
3.3726166667,90902,38,28,true,Whiley
3.3628333333,90902,38,28,true,Whiley
3.3593666667,90902,38,28,true,Whiley
3.3612833333,90902,38,28,true,Whiley
3.3745166667,90902,38,28,true,Whiley
3.3642833333,90902,38,28,true,Whiley
3.3720833333,90902,38,28,true,Whiley
3.0911,90902,38,28,true,Whiley
3.0735833333,90902,38,28,true,Whiley
3.2001,90902,38,28,true,Whiley
2.7902333333,90902,38,32,false,Whiley
2.6907166667,90902,38,32,false,Whiley
2.7502333333,90902,38,32,false,Whiley
2.6768833333,90902,38,32,false,Whiley
2.7745166667,90902,38,32,false,Whiley
2.68265,90902,38,32,false,Whiley
2.7143,90902,38,32,false,Whiley
2.7120833333,90902,38,32,false,Whiley
2.80005,90902,38,32,false,Whiley
2.6916333333,90902,38,32,false,Whiley
2.7091166667,90902,38,32,false,Whiley
2.7303333333,90902,38,32,false,Whiley
2.8003666667,90902,38,32,false,Whiley
2.7950833333,90902,38,32,false,Whiley
2.6917333333,90902,38,32,false,Whiley
2.7288833333,90902,38,32,false,Whiley
2.7327666667,90902,38,32,false,Whiley
2.75995,90902,38,32,false,Whiley
2.74505,90902,38,32,false,Whiley
2.7377166667,90902,38,32,false,Whiley
2.7385666667,90902,38,32,false,Whiley
2.7399666667,90902,38,32,false,Whiley
2.7488,90902,38,32,false,Whiley
2.7524333333,90902,38,32,false,Whiley
2.7934833333,90902,38,32,false,Whiley
2.7880166667,90902,38,32,false,Whiley
2.8025666667,90902,38,32,false,Whiley
2.8028833333,90902,38,32,false,Whiley
2.8056833333,90902,38,32,false,Whiley
2.81555,90902,38,32,false,Whiley
2.7889666667,1536360,2190,324,true,Spring
2.8577333333,1536360,2190,324,true,Spring
2.7170666667,1536360,2190,324,true,Spring
2.7321333333,1536360,2190,324,true,Spring
2.7855333333,1536360,2190,324,true,Spring
2.7854333333,1536360,2190,324,true,Spring
2.7836666667,1536360,2190,324,true,Spring
2.7657833333,1536360,2190,324,true,Spring
2.7330333333,1536360,2190,324,true,Spring
2.7849333333,1536360,2190,324,true,Spring
2.7349166667,1536360,2190,324,true,Spring
2.7633,1536360,2190,324,true,Spring
2.7866166667,1536360,2190,324,true,Spring
2.7630833333,1536360,2190,324,true,Spring
2.7908333333,1536360,2190,324,true,Spring
2.7194833333,1536360,2190,324,true,Spring
2.8612333333,1536360,2190,324,true,Spring
2.7733166667,1536360,2190,324,true,Spring
2.79145,1536360,2190,324,true,Spring
2.7841666667,1536360,2190,324,true,Spring
2.7798666667,1536360,2190,324,true,Spring
2.80365,1536360,2190,324,true,Spring
2.7795,1536360,2190,324,true,Spring
2.7814333333,1536360,2190,324,true,Spring
2.7843833333,1536360,2190,324,true,Spring
2.7736166667,1536360,2190,324,true,Spring
2.78935,1536360,2190,324,true,Spring
2.7834833333,1536360,2190,324,true,Spring
2.9944166667,1536360,2190,324,true,Spring
2.9945333333,1536360,2190,324,true,Spring
2.0546166667,1536360,2190,1666,false,Spring
2.04135,1536360,2190,1666,false,Spring
2.02775,1536360,2190,1666,false,Spring
2.0660166667,1536360,2190,1666,false,Spring
2.02865,1536360,2190,1666,false,Spring
2.0745333333,1536360,2190,1666,false,Spring
2.1064,1536360,2190,1666,false,Spring
2.1052333333,1536360,2190,1666,false,Spring
2.1036666667,1536360,2190,1666,false,Spring
2.0862833333,1536360,2190,1666,false,Spring
2.0943333333,1536360,2190,1666,false,Spring
2.1018666667,1536360,2190,1666,false,Spring
2.0983,1536360,2190,1666,false,Spring
2.0981,1536360,2190,1666,false,Spring
2.10065,1536360,2190,1666,false,Spring
2.1220666667,1536360,2190,1666,false,Spring
2.0962666667,1536360,2190,1666,false,Spring
2.09165,1536360,2190,1666,false,Spring
2.1104833333,1536360,2190,1666,false,Spring
2.10835,1536360,2190,1666,false,Spring
2.0975166667,1536360,2190,1666,false,Spring
2.10565,1536360,2190,1666,false,Spring
2.1018833333,1536360,2190,1666,false,Spring
2.1008666667,1536360,2190,1666,false,Spring
2.0921,1536360,2190,1666,false,Spring
2.09705,1536360,2190,1666,false,Spring
2.0452333333,1536360,2190,1666,false,Spring
2.0943333333,1536360,2190,1666,false,Spring
2.0966333333,1536360,2190,1666,false,Spring
2.2902666667,1536360,2190,1666,false,Spring
0.6090333333,32580,126,10,true,Metric-x
0.6596666667,32580,126,10,true,Metric-x
0.6535833333,32580,126,10,true,Metric-x
0.61835,32580,126,10,true,Metric-x
0.6210333333,32580,126,10,true,Metric-x
0.6038833333,32580,126,10,true,Metric-x
0.64625,32580,126,10,true,Metric-x
0.6238333333,32580,126,10,true,Metric-x
0.6266,32580,126,10,true,Metric-x
0.641,32580,126,10,true,Metric-x
0.6226166667,32580,126,10,true,Metric-x
0.6228166667,32580,126,10,true,Metric-x
0.6217333333,32580,126,10,true,Metric-x
0.6427166667,32580,126,10,true,Metric-x
0.6406166667,32580,126,10,true,Metric-x
0.6413666667,32580,126,10,true,Metric-x
0.6398833333,32580,126,10,true,Metric-x
0.6667333333,32580,126,10,true,Metric-x
0.64445,32580,126,10,true,Metric-x
0.64215,32580,126,10,true,Metric-x
0.6192833333,32580,126,10,true,Metric-x
0.6470833333,32580,126,10,true,Metric-x
0.6379833333,32580,126,10,true,Metric-x
0.65695,32580,126,10,true,Metric-x
0.6525666667,32580,126,10,true,Metric-x
0.6607833333,32580,126,10,true,Metric-x
0.65445,32580,126,10,true,Metric-x
0.6545666667,32580,126,10,true,Metric-x
0.6535666667,32580,126,10,true,Metric-x
0.6592333333,32580,126,10,true,Metric-x
0.4929333333,32580,126,76,false,Metric-x
0.4812666667,32580,126,76,false,Metric-x
0.4658833333,32580,126,76,false,Metric-x
0.47135,32580,126,76,false,Metric-x
0.4621333333,32580,126,76,false,Metric-x
0.47845,32580,126,76,false,Metric-x
0.4829666667,32580,126,76,false,Metric-x
0.464,32580,126,76,false,Metric-x
0.4692833333,32580,126,76,false,Metric-x
0.48985,32580,126,76,false,Metric-x
0.4930333333,32580,126,76,false,Metric-x
0.4842666667,32580,126,76,false,Metric-x
0.4959166667,32580,126,76,false,Metric-x
0.4950833333,32580,126,76,false,Metric-x
0.5018333333,32580,126,76,false,Metric-x
0.4844833333,32580,126,76,false,Metric-x
